Job Titles,AI Impact,Tasks,AI Models,AI Workload Ratio,Domain
Postdoc,0.05,717,3200,0.2240625,Law Enforcement
Pre K Teacher,0.05,750,3377,0.222090613,Construction
Preschool Teacher,0.05,747,3241,0.230484418,Sales & Marketing
Primary Teacher,0.05,740,3331,0.222155509,Hospitality
Private Tutor,0.05,829,3513,0.235980643,Communication & PR
Professional Tutor,0.05,829,3533,0.234644778,Data & IT
Psychology Instructor,0.05,746,3230,0.230959752,Administrative & Clerical
Psychology Professor,0.05,741,3226,0.229696218,Leadership & Strategy
Psychology Teacher,0.05,739,3215,0.229860031,Medical & Healthcare
Reader,0.05,627,3148,0.199174079,Supply Chain & Logistics
Reading Teacher,0.05,781,3286,0.237674985,Law Enforcement
Reading Tutor,0.05,817,3482,0.234635267,Construction
Religion Teacher,0.05,721,3204,0.225031211,Sales & Marketing
Sat Tutor,0.05,791,3447,0.229474906,Hospitality
School Secretary,0.05,595,2915,0.204116638,Communication & PR
Science Teacher,0.05,735,3221,0.228190003,Data & IT
Secondary Teacher,0.05,736,3226,0.228146311,Administrative & Clerical
Social Science Teacher,0.05,704,3177,0.221592698,Leadership & Strategy
Social Studies Teacher,0.05,699,3145,0.222257552,Medical & Healthcare
Spanish Teacher,0.05,731,3322,0.220048164,Supply Chain & Logistics
Student Tutor,0.05,780,3448,0.226218097,Law Enforcement
Student Worker,0.05,693,2739,0.253012048,Construction
Teaching Artist,0.05,1026,4154,0.246990852,Sales & Marketing
Theater Teacher,0.05,991,3924,0.25254842,Hospitality
Theology Teacher,0.05,907,3815,0.23774574,Communication & PR
Tutor,0.05,1033,4369,0.236438544,Data & IT
Welding Instructor,0.05,624,2904,0.214876033,Administrative & Clerical
Writing Tutor,0.05,1014,4233,0.239546421,Leadership & Strategy
Accompanist,0.05,558,2355,0.236942675,Medical & Healthcare
Art Model,0.05,704,2814,0.250177683,Supply Chain & Logistics
Choreographer,0.05,860,3935,0.218551461,Law Enforcement
Craftsman,0.05,623,3046,0.204530532,Construction
DJ,0.05,805,3413,0.235862877,Sales & Marketing
Dance Instructor,0.05,850,3783,0.2246894,Hospitality
Dance Teacher,0.05,847,3762,0.225146199,Communication & PR
Painter,0.05,279,1486,0.187752355,Data & IT
Potter,0.05,250,1422,0.17580872,Administrative & Clerical
Sculptor,0.05,279,1482,0.188259109,Leadership & Strategy
Tattoo Artist,0.05,382,1814,0.210584344,Medical & Healthcare
Voice Over Artist,0.05,838,3505,0.239087019,Supply Chain & Logistics
Chiropractor,0.05,473,1750,0.270285714,Law Enforcement
Coroner,0.05,456,1618,0.281829419,Construction
Dental,0.05,515,1855,0.277628032,Sales & Marketing
Dentist,0.05,512,1843,0.277807922,Hospitality
Doctor,0.05,555,2058,0.2696793,Communication & PR
Emergency Medicine Physician,0.05,521,1877,0.277570591,Data & IT
Endodontist,0.05,494,1793,0.275515895,Administrative & Clerical
Family Medicine Physician,0.05,517,1867,0.276914837,Leadership & Strategy
Family Physician,0.05,517,1867,0.276914837,Medical & Healthcare
General Dentist,0.05,420,1742,0.241102181,Supply Chain & Logistics
General Practitioner,0.05,440,1819,0.241891149,Law Enforcement
Hospital Volunteer,0.05,325,1478,0.219891746,Construction
Machine Learning Engineer,0.05,1159,4109,0.282063762,Sales & Marketing
Scrum Master,0.05,757,2929,0.258449983,Hospitality
Vp Engineering,0.05,1104,4371,0.252573782,Communication & PR
User Experience Researcher,0.05,1222,5051,0.241932291,Data & IT
Activity Assistant,0.05,1053,4214,0.249881348,Administrative & Clerical
Chief Compliance Officer,0.05,1054,3980,0.264824121,Leadership & Strategy
Event Planning,0.05,1267,5285,0.239735099,Medical & Healthcare
Hr Administrative Assistant,0.05,919,3883,0.236672676,Supply Chain & Logistics
Human Resources Clerk,0.05,882,3499,0.252072021,Law Enforcement
Payroll Director,0.05,626,2573,0.243295764,Construction
Bailiff,0.05,659,2848,0.231390449,Sales & Marketing
Court Clerk,0.05,836,3454,0.242038217,Hospitality
Court Officer,0.05,763,3196,0.23873592,Communication & PR
Court Reporter,0.05,875,3386,0.258417011,Data & IT
Deputy Clerk,0.05,763,3223,0.23673596,Administrative & Clerical
Deputy Court Clerk,0.05,722,2875,0.251130435,Leadership & Strategy
Judge,0.05,323,1443,0.223839224,Medical & Healthcare
