Job Titles,AI Impact,Tasks,Task Type,AI Models,Model Sophistication,AI Workload Ratio,Domain
Postdoc,0.05,717,Routine,3200,Intermediate,0.2240625,Research & Academia
Pre K Teacher,0.05,750,Complex,3377,Intermediate,0.222090613,Education
Preschool Teacher,0.05,747,Complex,3241,Intermediate,0.230484418,Education
Primary Teacher,0.05,740,Complex,3331,Intermediate,0.222155509,Education
Private Tutor,0.05,829,Routine,3513,Intermediate,0.235980643,Education
Professional Tutor,0.05,829,Routine,3533,Intermediate,0.234644778,Education
Psychology Instructor,0.05,746,Routine,3230,Intermediate,0.230959752,Education
Psychology Professor,0.05,741,Routine,3226,Intermediate,0.229696218,General
Psychology Teacher,0.05,739,Complex,3215,Intermediate,0.229860031,Education
Reader,0.05,627,Routine,3148,Intermediate,0.199174079,General
Reading Teacher,0.05,781,Complex,3286,Intermediate,0.237674985,Education
Reading Tutor,0.05,817,Routine,3482,Intermediate,0.234635267,Education
Religion Teacher,0.05,721,Complex,3204,Intermediate,0.225031211,Education
Sat Tutor,0.05,791,Routine,3447,Intermediate,0.229474906,Education
School Secretary,0.05,595,Routine,2915,Intermediate,0.204116638,General
Science Teacher,0.05,735,Complex,3221,Intermediate,0.228190003,Education
Secondary Teacher,0.05,736,Complex,3226,Intermediate,0.228146311,Education
Social Science Teacher,0.05,704,Complex,3177,Intermediate,0.221592698,Education
Social Studies Teacher,0.05,699,Complex,3145,Intermediate,0.222257552,Education
Spanish Teacher,0.05,731,Complex,3322,Intermediate,0.220048164,Education
Student Tutor,0.05,780,Routine,3448,Intermediate,0.226218097,Education
Student Worker,0.05,693,Routine,2739,Intermediate,0.253012048,General
Teaching Artist,0.05,1026,Routine,4154,Intermediate,0.246990852,General
Theater Teacher,0.05,991,Complex,3924,Intermediate,0.25254842,Education
Theology Teacher,0.05,907,Complex,3815,Intermediate,0.23774574,Education
Tutor,0.05,1033,Routine,4369,Intermediate,0.236438544,Education
Welding Instructor,0.05,624,Routine,2904,Intermediate,0.214876033,Education
Writing Tutor,0.05,1014,Routine,4233,Intermediate,0.239546421,Education
Accompanist,0.05,558,Routine,2355,Intermediate,0.236942675,General
Art Model,0.05,704,Routine,2814,Intermediate,0.250177683,General
Choreographer,0.05,860,Routine,3935,Intermediate,0.218551461,General
Craftsman,0.05,623,Routine,3046,Intermediate,0.204530532,General
DJ,0.05,805,Routine,3413,Intermediate,0.235862877,General
Dance Instructor,0.05,850,Routine,3783,Intermediate,0.2246894,Education
Dance Teacher,0.05,847,Complex,3762,Intermediate,0.225146199,Education
Painter,0.05,279,Routine,1486,Basic,0.187752355,General
Potter,0.05,250,Routine,1422,Basic,0.17580872,General
Sculptor,0.05,279,Routine,1482,Basic,0.188259109,General
Tattoo Artist,0.05,382,Routine,1814,Intermediate,0.210584344,General
Voice Over Artist,0.05,838,Routine,3505,Intermediate,0.239087019,General
Chiropractor,0.05,473,Routine,1750,Intermediate,0.270285714,General
Coroner,0.05,456,Routine,1618,Intermediate,0.281829419,General
Dental,0.05,515,Routine,1855,Intermediate,0.277628032,General
Dentist,0.05,512,Routine,1843,Intermediate,0.277807922,General
Doctor,0.05,555,Routine,2058,Intermediate,0.2696793,Healthcare
Emergency Medicine Physician,0.05,521,Routine,1877,Intermediate,0.277570591,General
Endodontist,0.05,494,Routine,1793,Intermediate,0.275515895,General
Family Medicine Physician,0.05,517,Routine,1867,Intermediate,0.276914837,General
Family Physician,0.05,517,Routine,1867,Intermediate,0.276914837,General
General Dentist,0.05,420,Routine,1742,Intermediate,0.241102181,General
General Practitioner,0.05,440,Routine,1819,Intermediate,0.241891149,General
Hospital Volunteer,0.05,325,Routine,1478,Basic,0.219891746,General
Machine Learning Engineer,0.05,1159,Complex,4109,Intermediate,0.282063762,Engineering & Technology
Scrum Master,0.05,757,Routine,2929,Intermediate,0.258449983,General
